,im_uuid,medical_center,slide_id,patch_id,bio_class
0,VALSET1_UKK_case_017_advent.5989_ADVENT,VALSET1_UKK,case_017,advent.5989,ADVENT
1,VALSET1_UKK_case_017_advent.5275_ADVENT,VALSET1_UKK,case_017,advent.5275,ADVENT
2,VALSET1_UKK_case_017_advent.6133_ADVENT,VALSET1_UKK,case_017,advent.6133,ADVENT
3,VALSET1_UKK_case_017_advent.5526_ADVENT,VALSET1_UKK,case_017,advent.5526,ADVENT
4,VALSET1_UKK_case_017_advent.5779_ADVENT,VALSET1_UKK,case_017,advent.5779,ADVENT
5,VALSET1_UKK_case_017_advent.6014_ADVENT,VALSET1_UKK,case_017,advent.6014,ADVENT
6,VALSET1_UKK_case_017_advent.5319_ADVENT,VALSET1_UKK,case_017,advent.5319,ADVENT
7,VALSET1_UKK_case_017_advent.5715_ADVENT,VALSET1_UKK,case_017,advent.5715,ADVENT
8,VALSET1_UKK_case_017_advent.5226_ADVENT,VALSET1_UKK,case_017,advent.5226,ADVENT
9,VALSET1_UKK_case_017_advent.5932_ADVENT,VALSET1_UKK,case_017,advent.5932,ADVENT
10,VALSET1_UKK_case_017_advent.5520_ADVENT,VALSET1_UKK,case_017,advent.5520,ADVENT
11,VALSET1_UKK_case_017_advent.5708_ADVENT,VALSET1_UKK,case_017,advent.5708,ADVENT
12,VALSET1_UKK_case_017_advent.6011_ADVENT,VALSET1_UKK,case_017,advent.6011,ADVENT
13,VALSET1_UKK_case_017_advent.5740_ADVENT,VALSET1_UKK,case_017,advent.5740,ADVENT
14,VALSET1_UKK_case_017_advent.5739_ADVENT,VALSET1_UKK,case_017,advent.5739,ADVENT
15,VALSET1_UKK_case_017_advent.5745_ADVENT,VALSET1_UKK,case_017,advent.5745,ADVENT
16,VALSET1_UKK_case_017_advent.5127_ADVENT,VALSET1_UKK,case_017,advent.5127,ADVENT
17,VALSET1_UKK_case_017_advent.5537_ADVENT,VALSET1_UKK,case_017,advent.5537,ADVENT
18,VALSET1_UKK_case_017_advent.5769_ADVENT,VALSET1_UKK,case_017,advent.5769,ADVENT
19,VALSET1_UKK_case_017_advent.6138_ADVENT,VALSET1_UKK,case_017,advent.6138,ADVENT
20,VALSET1_UKK_case_017_advent.5550_ADVENT,VALSET1_UKK,case_017,advent.5550,ADVENT
21,VALSET1_UKK_case_017_advent.5929_ADVENT,VALSET1_UKK,case_017,advent.5929,ADVENT
22,VALSET1_UKK_case_017_advent.5385_ADVENT,VALSET1_UKK,case_017,advent.5385,ADVENT
23,VALSET1_UKK_case_017_advent.5648_ADVENT,VALSET1_UKK,case_017,advent.5648,ADVENT
24,VALSET1_UKK_case_017_advent.5760_ADVENT,VALSET1_UKK,case_017,advent.5760,ADVENT
25,VALSET1_UKK_case_017_advent.5964_ADVENT,VALSET1_UKK,case_017,advent.5964,ADVENT
26,VALSET1_UKK_case_017_advent.5408_ADVENT,VALSET1_UKK,case_017,advent.5408,ADVENT
27,VALSET1_UKK_case_017_advent.5333_ADVENT,VALSET1_UKK,case_017,advent.5333,ADVENT
28,VALSET1_UKK_case_017_advent.5787_ADVENT,VALSET1_UKK,case_017,advent.5787,ADVENT
29,VALSET1_UKK_case_017_advent.5974_ADVENT,VALSET1_UKK,case_017,advent.5974,ADVENT
30,VALSET1_UKK_case_017_advent.5193_ADVENT,VALSET1_UKK,case_017,advent.5193,ADVENT
31,VALSET1_UKK_case_017_advent.5411_ADVENT,VALSET1_UKK,case_017,advent.5411,ADVENT
32,VALSET1_UKK_case_017_advent.5880_ADVENT,VALSET1_UKK,case_017,advent.5880,ADVENT
33,VALSET1_UKK_case_017_advent.5168_ADVENT,VALSET1_UKK,case_017,advent.5168,ADVENT
34,VALSET1_UKK_case_017_advent.5380_ADVENT,VALSET1_UKK,case_017,advent.5380,ADVENT
35,VALSET1_UKK_case_017_advent.6038_ADVENT,VALSET1_UKK,case_017,advent.6038,ADVENT
36,VALSET1_UKK_case_017_advent.6000_ADVENT,VALSET1_UKK,case_017,advent.6000,ADVENT
37,VALSET1_UKK_case_017_advent.6033_ADVENT,VALSET1_UKK,case_017,advent.6033,ADVENT
